seat_no,seat,booth,BRS,INC,BJP,AIMIM,others,valid_votes,nota,total_polled
61,Jubilee Hills,152,410,220,12,22,9,673,0,673
61,Jubilee Hills,153,187,117,6,17,3,330,0,330
61,Jubilee Hills,154,295,140,21,18,8,482,1,483
61,Jubilee Hills,155,242,143,42,9,8,444,1,445
61,Jubilee Hills,156,246,149,30,17,5,447,0,447
61,Jubilee Hills,157,194,117,27,18,6,362,1,363
61,Jubilee Hills,158,244,116,34,16,6,416,1,417
61,Jubilee Hills,158A,194,167,30,13,11,415,1,416
61,Jubilee Hills,159,346,206,45,33,11,641,0,641
61,Jubilee Hills,160,302,143,110,28,24,607,0,607
61,Jubilee Hills,161,215,196,73,2,16,502,4,506
61,Jubilee Hills,162,342,319,86,8,14,769,7,776
61,Jubilee Hills,163,326,243,91,8,15,683,4,687
61,Jubilee Hills,164,279,198,75,6,18,576,3,579
61,Jubilee Hills,165,256,129,46,6,7,444,6,450
61,Jubilee Hills,165A,226,123,20,1,13,383,2,385
61,Jubilee Hills,166,248,240,38,15,8,549,3,552
61,Jubilee Hills,167,160,155,17,5,8,345,1,346
61,Jubilee Hills,168,270,211,57,9,12,559,4,563
61,Jubilee Hills,169,135,183,16,8,5,347,1,348
61,Jubilee Hills,169A,204,203,39,13,13,472,2,474
61,Jubilee Hills,170,238,171,91,2,19,521,2,523
61,Jubilee Hills,171,265,219,153,3,21,661,5,666
61,Jubilee Hills,172,272,170,105,3,13,563,3,566
61,Jubilee Hills,173,165,123,69,1,7,365,4,369
61,Jubilee Hills,174,254,209,73,7,8,551,9,560
61,Jubilee Hills,175,224,155,56,4,7,446,5,451
61,Jubilee Hills,176,181,147,85,2,5,420,6,426
61,Jubilee Hills,176A,160,162,63,5,12,402,1,403
61,Jubilee Hills,177,269,201,126,2,11,609,2,611
61,Jubilee Hills,178,98,147,31,0,3,279,5,284
61,Jubilee Hills,179,70,106,25,0,5,206,1,207
61,Jubilee Hills,180,101,133,37,3,2,276,5,281
61,Jubilee Hills,181,168,165,105,5,7,450,2,452
61,Jubilee Hills,182,237,171,78,6,14,506,5,511
61,Jubilee Hills,183,165,218,85,12,7,487,4,491
61,Jubilee Hills,184,226,175,99,5,7,512,5,517
61,Jubilee Hills,185,206,195,79,5,7,492,2,494
61,Jubilee Hills,186,177,137,63,7,7,391,0,391
61,Jubilee Hills,187,189,191,62,3,7,452,4,456
61,Jubilee Hills,188,114,74,50,3,8,249,5,254
61,Jubilee Hills,189,208,157,59,2,7,433,7,440
61,Jubilee Hills,190,152,100,53,1,5,311,0,311
61,Jubilee Hills,191,235,221,129,5,11,601,8,609
61,Jubilee Hills,192,195,101,89,0,10,395,6,401
61,Jubilee Hills,193,283,236,115,3,9,646,9,655
61,Jubilee Hills,194,210,155,98,2,3,468,9,477
61,Jubilee Hills,195,174,119,78,2,6,379,4,383
61,Jubilee Hills,196,208,159,110,0,7,484,8,492
61,Jubilee Hills,197,214,176,71,1,5,467,5,472
61,Jubilee Hills,198,194,165,71,0,8,438,1,439
61,Jubilee Hills,199,187,144,62,1,4,398,5,403
61,Jubilee Hills,200,175,141,55,0,3,374,6,380
61,Jubilee Hills,201,107,102,71,1,7,288,6,294
61,Jubilee Hills,202,148,106,105,1,5,365,2,367
61,Jubilee Hills,203,151,129,79,5,5,369,5,374
61,Jubilee Hills,204,160,156,88,0,3,407,4,411
61,Jubilee Hills,205,191,173,53,1,8,426,7,433
61,Jubilee Hills,206,264,224,119,1,10,618,6,624
61,Jubilee Hills,207,204,173,52,8,9,446,3,449
61,Jubilee Hills,208,270,203,66,6,15,560,6,566
61,Jubilee Hills,209,192,159,60,8,7,426,8,434
61,Jubilee Hills,210,257,248,73,5,12,595,6,601
61,Jubilee Hills,211,126,115,36,0,0,277,3,280
61,Jubilee Hills,212,244,148,70,6,8,476,4,480
61,Jubilee Hills,213,312,298,46,3,5,664,3,667
61,Jubilee Hills,214,296,220,88,1,8,613,10,623
61,Jubilee Hills,215,268,229,63,8,9,577,1,578
61,Jubilee Hills,216,256,180,54,8,7,505,7,512
61,Jubilee Hills,217,157,157,37,5,6,362,2,364
61,Jubilee Hills,218,97,93,36,0,3,229,2,231
61,Jubilee Hills,219,136,115,26,1,7,285,4,289
61,Jubilee Hills,220,172,143,50,2,7,374,3,377
61,Jubilee Hills,221,119,95,28,2,2,246,1,247
61,Jubilee Hills,222,145,118,42,0,4,309,0,309
61,Jubilee Hills,223,224,182,70,3,6,485,2,487
61,Jubilee Hills,224,180,171,54,4,6,415,0,415
61,Jubilee Hills,225,182,213,63,1,8,467,8,475
61,Jubilee Hills,226,205,218,103,0,3,529,7,536
61,Jubilee Hills,227,169,169,100,3,10,451,6,457
61,Jubilee Hills,228,202,234,88,3,8,535,4,539
61,Jubilee Hills,229,240,179,75,13,10,517,7,524
61,Jubilee Hills,230,240,246,89,0,5,580,10,590
61,Jubilee Hills,231,312,188,105,3,18,626,5,631
61,Jubilee Hills,232,255,174,70,7,12,518,9,527
61,Jubilee Hills,233,180,82,55,9,8,334,5,339
61,Jubilee Hills,234,281,237,108,21,16,663,11,674
61,Jubilee Hills,235,326,245,91,11,12,685,3,688
61,Jubilee Hills,236,442,217,35,21,10,725,3,728
61,Jubilee Hills,237,350,138,26,10,7,531,1,532
61,Jubilee Hills,238,243,181,74,5,7,510,8,518
61,Jubilee Hills,239,204,217,63,4,6,494,10,504
61,Jubilee Hills,240,109,106,66,0,1,282,2,284
61,Jubilee Hills,241,175,152,116,3,13,459,9,468
61,Jubilee Hills,242,232,171,96,3,8,510,3,513
61,Jubilee Hills,243,255,246,82,5,8,596,5,601
61,Jubilee Hills,244,229,188,87,5,10,519,0,519
61,Jubilee Hills,245,271,183,132,1,6,593,8,601
61,Jubilee Hills,246,91,127,70,0,5,293,2,295
61,Jubilee Hills,247,135,121,127,5,2,390,4,394
61,Jubilee Hills,248,190,167,148,3,8,516,5,521
61,Jubilee Hills,249,265,259,121,0,8,653,12,665
61,Jubilee Hills,250,204,181,104,7,8,504,6,510
61,Jubilee Hills,251,223,195,111,1,13,543,10,553
61,Jubilee Hills,252,342,237,166,0,8,753,7,760
61,Jubilee Hills,253,210,178,148,4,10,550,9,559
61,Jubilee Hills,254,151,74,73,0,2,300,6,306
61,Jubilee Hills,255,107,107,95,1,7,317,6,323
61,Jubilee Hills,256,159,196,151,0,7,513,11,524
61,Jubilee Hills,257,126,77,124,1,3,331,3,334
61,Jubilee Hills,258,230,140,128,10,17,525,4,529
61,Jubilee Hills,259,251,229,122,4,12,618,4,622
61,Jubilee Hills,260,336,237,183,6,25,787,6,793
61,Jubilee Hills,261,299,207,92,1,15,614,4,618
61,Jubilee Hills,262,342,244,163,3,24,776,5,781
61,Jubilee Hills,263,285,152,112,3,19,571,2,573
61,Jubilee Hills,264,386,218,231,0,10,845,10,855
61,Jubilee Hills,265,284,170,55,15,9,533,0,533
61,Jubilee Hills,266,271,104,44,16,9,444,1,445
