seat_no,seat,reservation,rank,candidate,sex,age,category,party,votes_general,votes_postal,votes_total,pct
113,Palair,GENERAL,7,Sunkari Ramamurthy,M,42,GEN,IND,1157,0,1157,0.6
113,Palair,GENERAL,8,Achaiah Gurram,M,72,GEN,IND,1052,6,1058,0.55
113,Palair,GENERAL,9,Kishan Yerraboina,M,41,GEN,BSP,985,2,987,0.51
113,Palair,GENERAL,10,Seema Rambabu,M,36,SC,IND,740,0,740,0.39
113,Palair,GENERAL,11,Pullaiah Chary Banala,M,39,GEN,PPOI,608,0,608,0.32
113,Palair,GENERAL,12,Banoth Laxman Naik,M,61,ST,IND,490,0,490,0.25
113,Palair,GENERAL,13,Gopoju Ramesh,M,41,SC,TECPI,261,0,261,0.14
113,Palair,GENERAL,14,Mandadapu Sudhakar Rao,M,47,GEN,IND,259,0,259,0.13
113,Palair,GENERAL,15,Kasani Srinivasa Rao,M,44,GEN,JASWP,148,0,148,0.08
114,Madhira,SC,1,Bhatti Vikramarka Mallu,M,57,SC,INC,80346,252,80598,43.11
114,Madhira,SC,2,Kamal Raju Lingala,M,47,SC,BRS,76665,366,77031,41.21
114,Madhira,SC,3,Rambabu Kota,M,37,SC,BLFP,22896,134,23030,12.32
